site;date;day;month;year;number;unique.number;sex;spawning;time.h;time.end.h;time;time.end;sunrise;start.time.to.sunrise;sst
Vairao;23/11/2021;23;11;2021;20;Vairao20;MALE;YES;6.56;NA;6.933333333;NA;5.2;1.733333333;27.3799932844937
Vairao;23/11/2021;23;11;2021;21;Vairao21;FEMALE;YES;7.34;NA;7.566666667;NA;5.2;2.366666667;27.3799932844937
Vairao;23/11/2021;23;11;2021;22;Vairao22;MALE;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
Vairao;23/11/2021;23;11;2021;23;Vairao23;UNKNOWN;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
Vairao;23/11/2021;23;11;2021;24;Vairao24;FEMALE;YES;7.25;NA;7.416666667;NA;5.2;2.216666667;27.3799932844937
Vairao;23/11/2021;23;11;2021;25;Vairao25;MALE;YES;7.02;NA;7.033333333;NA;5.2;1.833333333;27.3799932844937
Vairao;23/11/2021;23;11;2021;26;Vairao26;UNKNOWN;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
Vairao;23/11/2021;23;11;2021;27;Vairao27;UNKNOWN;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
Vairao;23/11/2021;23;11;2021;28;Vairao28;MALE;YES;7.03;NA;7.05;NA;5.2;1.85;27.3799932844937
Vairao;23/11/2021;23;11;2021;29;Vairao29;FEMALE;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
Vairao;23/11/2021;23;11;2021;30;Vairao30;MALE;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
AME BORA BORA;23/11/2021;23;11;2021;1;AME BORA BORA1;UNKNOWN;NO;NA;NA;NA;NA;5.4;NA;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;2;AME BORA BORA2;UNKNOWN;NO;NA;NA;NA;NA;5.4;NA;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;3;AME BORA BORA3;MALE;YES;7.29;7.4;7.483333333;7.066666667;5.4;2.083333333;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;4;AME BORA BORA4;MALE;YES;7.05;7.2;7.083333333;7.033333333;5.4;1.683333333;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;5;AME BORA BORA5;MALE;YES;7.13;7.45;7.216666667;7.75;5.4;1.816666667;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;6;AME BORA BORA6;UNKNOWN;NO;NA;NA;NA;NA;5.4;NA;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;7;AME BORA BORA7;MALE;YES;7.16;7.42;7.266666667;7.7;5.4;1.866666667;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;8;AME BORA BORA8;MALE;NO;NA;NA;NA;NA;5.4;NA;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;9;AME BORA BORA9;UNKNOWN;NO;NA;NA;NA;NA;5.4;NA;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;10;AME BORA BORA10;MALE;YES;7.21;7.51;7.35;7.85;5.4;1.95;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;11;AME BORA BORA11;UNKNOWN;NO;NA;NA;NA;NA;5.4;NA;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;12;AME BORA BORA12;UNKNOWN;NO;NA;NA;NA;NA;5.4;NA;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;13;AME BORA BORA13;UNKNOWN;NO;NA;NA;NA;NA;5.4;NA;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;14;AME BORA BORA14;UNKNOWN;NO;NA;NA;NA;NA;5.4;NA;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;15;AME BORA BORA15;MALE;YES;7.3;7.5;7.05;7.083333333;5.4;1.65;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;16;AME BORA BORA16;UNKNOWN;NO;NA;NA;NA;NA;5.4;NA;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;17;AME BORA BORA17;UNKNOWN;NO;NA;NA;NA;NA;5.4;NA;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;18;AME BORA BORA18;UNKNOWN;NO;NA;NA;NA;NA;5.4;NA;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;19;AME BORA BORA19;MALE;YES;7.1;7.27;7.016666667;7.45;5.4;1.616666667;27.9599932715297
AME BORA BORA;23/11/2021;23;11;2021;20;AME BORA BORA20;UNKNOWN;NO;NA;NA;NA;NA;5.4;NA;27.9599932715297
Pointe_Venus;23/11/2021;23;11;2021;1;Pointe_Venus1;FEMALE;YES;7.2;NA;7.333333333;NA;5.2166667;2.116666633;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;2;Pointe_Venus2;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;3;Pointe_Venus3;FEMALE;YES;7.11;NA;7.183333333;NA;5.2166667;1.966666633;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;4;Pointe_Venus4;FEMALE;YES;7.11;NA;7.183333333;NA;5.2166667;1.966666633;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;5;Pointe_Venus5;MALE;YES;7.07;NA;7.116666667;NA;5.2166667;1.899999967;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;6;Pointe_Venus6;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;7;Pointe_Venus7;FEMALE;YES;7.11;NA;7.183333333;NA;5.2166667;1.966666633;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;8;Pointe_Venus8;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;9;Pointe_Venus9;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;10;Pointe_Venus10;FEMALE;YES;7.16;NA;7.266666667;NA;5.2166667;2.049999967;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;11;Pointe_Venus11;MALE;YES;6.51;NA;6.85;NA;5.2166667;1.6333333;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;12;Pointe_Venus12;MALE;NO;NA;NA;NA;NA;5.2166667;NA;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;13;Pointe_Venus13;UNKNOWN;YES;6.51;NA;6.85;NA;5.2166667;1.6333333;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;14;Pointe_Venus14;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;15;Pointe_Venus15;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;16;Pointe_Venus16;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;17;Pointe_Venus17;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;18;Pointe_Venus18;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;19;Pointe_Venus19;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;20;Pointe_Venus20;MALE;NO;NA;NA;NA;NA;5.2166667;NA;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;21;Pointe_Venus21;MALE;YES;6.51;NA;6.85;NA;5.2166667;1.6333333;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;22;Pointe_Venus22;MALE;YES;6.51;NA;6.85;NA;5.2166667;1.6333333;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;23;Pointe_Venus23;MALE;YES;6.51;NA;6.85;NA;5.2166667;1.6333333;27.6699932780117
Pointe_Venus;23/11/2021;23;11;2021;24;Pointe_Venus24;MALE;YES;6.51;NA;6.85;NA;5.2166667;1.6333333;27.6699932780117
Arue_TdR;23/11/2021;23;11;2021;1;Arue_TdR1;MALE;YES;6.49;NA;6.816666667;NA;5.2166667;1.599999967;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;2;Arue_TdR2;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;3;Arue_TdR3;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
