country,island,site,habitat,depth,latitude,longitude,date,season,h_start,h_sunrise,h_after_sunrise
French Polynesia,Tahiti,Punaauia PK 18,Lagoon,2,-17.661567,-149.597767,2022-10-14,2022-2023,7.45,5.5,1.9500000000000002
French Polynesia,Tahiti,Punaauia PK 19,Lagoon,2,-17.66428,-149.59667,2022-10-14,2022-2023,7.58333333333333,5.5,2.0833333333333304
French Polynesia,Moorea,Maatea 2,Lagoon,2,-17.57807,-149.7966928,2022-10-14,2022-2023,7.61666666666667,5.51666666667,2.09999999999667
French Polynesia,Moorea,Maharepa 2,Lagoon,2,-17.479639,-149.796028,2022-10-14,2022-2023,7.36666666666667,5.51666666667,1.8499999999966699
French Polynesia,Moorea,Tiki village 2,Lagoon,2,-17.52941,-149.91064,2022-10-14,2022-2023,7.48333333333333,5.51666666667,1.96666666666333
French Polynesia,Tahiti,Faaa 3,Lagoon,2,-17.5422103,-149.6119529,2022-10-14,2022-2023,7.58333333333333,5.5,2.0833333333333304
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2022-11-13,2022-2023,7.41666666666667,5.21666666667,2.1999999999966695
French Polynesia,Tahiti,Punaauia PK 16-4,Lagoon,2,-17.6414579,-149.6092526,2022-11-13,2022-2023,7.65,5.25,2.4000000000000004
French Polynesia,Bora Bora,Ame,Lagoon,2,-16.524429,-151.739351,2022-11-13,2022-2023,7.2,5.41666666667,1.7833333333299999
French Polynesia,Moorea,Papetoai 1,Lagoon,2,-17.4887203,-149.8776437,2022-11-13,2022-2023,7.16666666666667,5.26666666667,1.8999999999966697
French Polynesia,Moorea,Petit village,Lagoon,2,-17.4973883,-149.9154404,2022-11-13,2022-2023,7.13333333333333,5.26666666667,1.8666666666633303
French Polynesia,Raiatea,Raiatea 1,Lagoon,2,-16.7427896,-151.4850261,2022-11-13,2022-2023,7.33333333333333,5.38333333333,1.95000000000333
French Polynesia,Tahiti,Punaauia PK 16-4,Lagoon,2,-17.6414579,-149.6092526,2022-12-12,2022-2023,7.1,5.28333333333,1.8166666666699998
French Polynesia,Rangiroa,Aquarium,Lagoon,5,-14.97658,-147.63403,2022-12-12,2022-2023,7,5.2,1.7999999999999998
French Polynesia,Moorea,Tiki village 2,Lagoon,2,-17.52941,-149.91064,2022-12-12,2022-2023,7.38333333333333,5.3,2.0833333333333304
French Polynesia,Moorea,Papetoai 1,Lagoon,2,-17.4887203,-149.8776437,2022-12-12,2022-2023,7.03333333333333,5.3,1.7333333333333298
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2022-12-12,2022-2023,6.88333333333333,5.25,1.6333333333333302
French Polynesia,Bora Bora,Ame,Lagoon,2,-16.524429,-151.739351,2022-12-12,2022-2023,7.1,5.45,1.6499999999999995
French Polynesia,Mopelia,Mopelia 1,Lagoon,5,-16.8279476,-153.927425,2022-12-12,2022-2023,7.21666666666667,5.58333333333,1.6333333333366706
French Polynesia,Takapoto,Marina,Outer slope,30,-14.70702,-145.2529946,2022-12-12,2022-2023,10.25,5.08333333333,5.16666666667
Fiji,Viti Levu,Fiji 1,Lagoon,2,-18.207081,177.6900437,2022-12-12,2022-2023,7.5,5.41666666667,2.0833333333299997
French Polynesia,Tikehau,Lagon 1,Lagoon,5,-15.0825675,-148.222429,2023-01-11,2022-2023,7.05,5.53333333333,1.51666666667
French Polynesia,Tahiti,Pointe Venus,Lagoon,2,-17.494471,-149.492953,2023-01-11,2022-2023,7.06666666666667,5.55,1.5166666666666702
French Polynesia,Rangiroa,Aquarium,Lagoon,5,-14.97658,-147.63403,2023-01-11,2022-2023,7.03333333333333,5.48333333333,1.5500000000033296
French Polynesia,Takapoto,Marina,Outer slope,30,-14.70702,-145.2529946,2023-01-11,2022-2023,10.25,5.33333333333,4.91666666667
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2023-01-11,2022-2023,6.91666666666667,5.51666666667,1.3999999999966697
French Polynesia,Tahiti,Vairao 4,Channel,20,-17.806149,-149.295217,2023-01-11,2022-2023,10.5,5.51666666667,4.98333333333
French Polynesia,Tetiaroa,Lagon 2,Lagoon,2,-17.0030453,-149.589993,2023-01-11,2022-2023,7.4,5.56666666667,1.8333333333300006
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2023-01-12,2022-2023,7.05,5.53333333333,1.51666666667
French Polynesia,Bora Bora,Ame,Lagoon,2,-16.524429,-151.739351,2023-01-11,2022-2023,7.05,5.71666666667,1.3333333333299997
French Polynesia,Moorea,Papetoai 1,Lagoon,2,-17.4887203,-149.8776437,2023-01-11,2022-2023,7.06666666666667,5.56666666667,1.4999999999966702
French Polynesia,Moorea,Opunohu 1,Outer slope,30,-17.48369,-149.85802,2023-01-11,2022-2023,10.1666666666667,5.56666666667,4.5999999999967
French Polynesia,Raiatea,Raiatea 1,Lagoon,2,-16.7427896,-151.4850261,2023-01-11,2022-2023,7.08333333333333,5.68333333333,1.4000000000033301
Fiji,Viti Levu,Fiji 1,Lagoon,2,-18.207081,177.6900437,2023-01-12,2022-2023,7.33333333333333,5.7,1.6333333333333302
French Polynesia,Tahiti,Teahupoo,Lagoon,2,-17.8576819,-149.2636551,2023-01-11,2022-2023,7.08333333333333,5.51666666667,1.5666666666633304
Reunion Island,Reunion,Saint-leu,Lagoon,2,-21.180983,55.286096,2023-01-12,2022-2023,7.4,5.78333333333,1.6166666666700005
French Polynesia,Tahiti,Punaauia PK 16-4,Lagoon,2,-17.6414579,-149.6092526,2023-02-10,2022-2023,7.53333333333333,5.83333333333,1.70000000000333
French Polynesia,Moorea,Papetoai 1,Lagoon,2,-17.4887203,-149.8776437,2023-02-10,2022-2023,7.3,5.85,1.4500000000000002
French Polynesia,Moorea,Opunohu 1,Outer slope,30,-17.48369,-149.85802,2023-02-10,2022-2023,10.5,5.85,4.65
French Polynesia,Tahiti,Pueu,Outer slope,30,-17.71771,-149.269529,2023-02-10,2022-2023,10.6833333333333,5.8,4.8833333333333
French Polynesia,Takapoto,Marina,Outer slope,30,-14.70702,-145.2529946,2023-02-10,2022-2023,10.7166666666667,5.6,5.116666666666701
French Polynesia,Tahaa,Baie tapuamu,Lagoon,2,-16.6091248,-151.5479303,2023-02-10,2022-2023,7.33333333333333,5.98333333333,1.3500000000033303
French Polynesia,Moorea,Maharepa 2,Lagoon,2,-17.479639,-149.796028,2023-02-10,2022-2023,7.25,5.85,1.4000000000000004
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2023-02-10,2022-2023,7.23333333333333,5.8,1.43333333333333
French Polynesia,Moorea,Papetoai 1,Lagoon,2,-17.4887203,-149.8776437,2023-03-12,2022-2023,7.5,6.01666666667,1.48333333333
French Polynesia,Tahiti,Punaauia PK 16-5,Lagoon,2,-17.6440292,-149.6085476,2023-03-12,2022-2023,7.58333333333333,6,1.5833333333333304
French Polynesia,Moorea,Tiki village 2,Lagoon,2,-17.52941,-149.91064,2023-03-12,2022-2023,7.65,6.01666666667,1.6333333333300004
French Polynesia,Tahiti,Punaauia PK 17,Lagoon,2,-17.6479864,-149.6068337,2023-03-12,2022-2023,7.5,6,1.5
French Polynesia,Tahiti,Punaauia PK 16-4,Lagoon,2,-17.6414579,-149.6092526,2023-03-12,2022-2023,7.55,6,1.5499999999999998
French Polynesia,Tahiti,Punaauia PK 18,Lagoon,2,-17.661567,-149.597767,2023-04-10,2022-2023,7.56666666666667,6.1,1.4666666666666703
French Polynesia,Tahaa,Baie tapuamu,Lagoon,2,-16.6091248,-151.5479303,2023-04-10,2022-2023,7.75,6.21666666667,1.5333333333299999
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2023-04-10,2022-2023,7.53333333333333,6.08333333333,1.45000000000333
French Polynesia,Rangiroa,Aquarium,Lagoon,5,-14.97658,-147.63403,2023-04-10,2022-2023,7.58333333333333,5.95,1.6333333333333302
